ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
hdicyclomine,haloperidol,Moderate,Increased anticholinergic effects and potential for paralytic ileus.,Both drugs have anticholinergic properties; additive effects can be significant.,"Monitor for constipation, urinary retention, and abdominal distension; use with caution.",1,2026-05-13
hdicyclomine,clozapine,Moderate,Increased anticholinergic effects and potential for paralytic ileus.,Both drugs have anticholinergic properties; additive effects can be significant.,"Monitor for constipation, urinary retention, and abdominal distension; use with caution.",1,2026-05-13
hdicyclomine,olanzapine,Moderate,Increased anticholinergic effects and potential for paralytic ileus.,Both drugs have anticholinergic properties; additive effects can be significant.,"Monitor for constipation, urinary retention, and abdominal distension; use with caution.",1,2026-05-13
hdicyclomine,digoxin,Minor,Potential for altered digoxin absorption.,"Anticholinergic agents can slow gastrointestinal motility, potentially affecting digoxin absorption.",Monitor digoxin levels and therapeutic response.,1,2026-05-13
ai health care llpamikacin,,,,,,1,2026-05-13
overseaschlordiazepoxide,alprazolam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
overseaschlordiazepoxide,diazepam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
overseaschlordiazepoxide,lorazepam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
overseaschlordiazepoxide,clonazepam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
overseaschlordiazepoxide,midazolam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
overseaschlordiazepoxide,zolpidem,Major,"Potentiated CNS depression, increased sedation and respiratory depression.",Additive pharmacodynamic effects on CNS.,Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
overseaschlordiazepoxide,tramadol,Moderate,Increased sedation and risk of respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
overseaschlordiazepoxide,codeine,Moderate,Increased sedation and risk of respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
overseaschlordiazepoxide,morphine,Moderate,Increased sedation and risk of respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
overseaschlordiazepoxide,alcohol,Major,"Potentiated CNS depression, increased sedation and respiratory depression.",Additive pharmacodynamic effects.,Advise patient to avoid alcohol.,1,2026-05-13
seratrodast,,,,,,1,2026-05-13
hlansoprazole,,,,,,1,2026-05-13
limitedchlordiazepoxide,alprazolam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
limitedchlordiazepoxide,diazepam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
limitedchlordiazepoxide,lorazepam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
limitedchlordiazepoxide,clonazepam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
limitedchlordiazepoxide,midazolam,Major,"Potentiated CNS depression, increased sedation and respiratory depression.","Both are benzodiazepines, additive pharmacodynamic effects.",Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
limitedchlordiazepoxide,zolpidem,Major,"Potentiated CNS depression, increased sedation and respiratory depression.",Additive pharmacodynamic effects on CNS.,Avoid concomitant use; monitor closely for sedation and respiratory depression if unavoidable.,1,2026-05-13
limitedchlordiazepoxide,tramadol,Moderate,Increased sedation and risk of respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
limitedchlordiazepoxide,codeine,Moderate,Increased sedation and risk of respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
limitedchlordiazepoxide,morphine,Moderate,Increased sedation and risk of respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
limitedchlordiazepoxide,alcohol,Major,"Potentiated CNS depression, increased sedation and respiratory depression.",Additive pharmacodynamic effects.,Advise patient to avoid alcohol.,1,2026-05-13
lactobacillus crispatus,,,,,,1,2026-05-13
lactobacillus gasseri,,,,,,1,2026-05-13
lactobacillus jensenii,,,,,,1,2026-05-13
tepotinib,,,,,,1,2026-05-13
astra idl maxdiclofenac,warfarin,Major,Increased risk of bleeding.,NSAIDs can potentiate anticoagulant effect and cause GI ulceration/bleeding.,Monitor INR closely and for signs of bleeding; consider alternative analgesic.,1,2026-05-13
astra idl maxdiclofenac,aspirin,Moderate,Increased risk of GI bleeding.,Additive GI irritant and antiplatelet effects.,Use with caution; monitor for signs of gastrointestinal bleeding.,1,2026-05-13
astra idl maxdiclofenac,clopidogrel,Moderate,Increased risk of bleeding.,Additive antiplatelet effects increase bleeding risk.,Use with caution; monitor for signs of bleeding.,1,2026-05-13
astra idl maxdiclofenac,losartan,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to renal vasoconstriction.",Monitor blood pressure and renal function; use lowest effective dose.,1,2026-05-13
astra idl maxdiclofenac,ramipril,Moderate,Reduced antihypertensive effect and increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to renal vasoconstriction.",Monitor blood pressure and renal function; use lowest effective dose.,1,2026-05-13
astra idl maxdiclofenac,amlodipine,Moderate,Reduced antihypertensive effect.,NSAIDs can antagonize the vasodilatory effects of calcium channel blockers.,Monitor blood pressure and increase dose if necessary.,1,2026-05-13
astra idl maxdiclofenac,furosemide,Moderate,Reduced diuretic and antihypertensive effect; increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, impairing diuretic response.",Monitor for diuresis and blood pressure; monitor renal function.,1,2026-05-13
astra idl maxdiclofenac,lithium,Major,Increased lithium levels and toxicity.,NSAIDs can reduce renal clearance of lithium.,Monitor lithium levels and signs of toxicity; avoid if possible.,1,2026-05-13
astra idl maxdiclofenac,methotrexate,Major,"Increased methotrexate levels and toxicity, particularly hematologic and renal.",NSAIDs can inhibit renal excretion of methotrexate.,Monitor methotrexate levels and signs of toxicity; use with caution and lowest dose.,1,2026-05-13
ai health care llpprogesterone,carbamazepine,Moderate,Decreased effectiveness of progesterone.,Enzyme induction by carbamazepine can increase progesterone metabolism.,Monitor for signs of reduced progesterone efficacy and consider dose adjustment.,1,2026-05-13
ai health care llpprogesterone,phenytoin,Moderate,Decreased effectiveness of progesterone.,Enzyme induction by phenytoin can increase progesterone metabolism.,Monitor for signs of reduced progesterone efficacy and consider dose adjustment.,1,2026-05-13
ai health care llpprogesterone,rifampicin,Moderate,Decreased effectiveness of progesterone.,Enzyme induction by rifampicin can increase progesterone metabolism.,Monitor for signs of reduced progesterone efficacy and consider dose adjustment.,1,2026-05-13
ai health care llpprogesterone,itraconazole,Moderate,Increased levels of progesterone.,Inhibition of progesterone metabolism by itraconazole.,Monitor for signs of progesterone excess.,1,2026-05-13
ai health care llpprogesterone,ketoconazole,Moderate,Increased levels of progesterone.,Inhibition of progesterone metabolism by ketoconazole.,Monitor for signs of progesterone excess.,1,2026-05-13
remington life sciences llpmethylcobalamin,,,,,,1,2026-05-13
auxilium medicare life science llpboron,,,,,,1,2026-05-13
gynaecological products,,,,,,1,2026-05-13
ai health care llpoxetacaine,,,,,,1,2026-05-13
skanttr lifescience llpdiclofenac,warfarin,Moderate,Increased risk of bleeding.,"Diclofenac can inhibit platelet aggregation and reduce the gastroprotective effects of prostaglandins, increasing the risk of gastrointestinal bleeding and potentiating the anticoagulant effect of warfarin.",Monitor INR closely and consider an alternative NSAID or analgesic.,1,2026-05-13
skanttr lifescience llpdiclofenac,metformin,Moderate,Increased risk of lactic acidosis.,"NSAIDs can impair renal function, which can lead to decreased metformin clearance and accumulation, increasing the risk of lactic acidosis.",Monitor renal function and blood glucose; consider alternative analgesic.,1,2026-05-13
skanttr lifescience llpdiclofenac,atenolol,Moderate,Reduced antihypertensive effect.,"NSAIDs can cause sodium and water retention, counteracting the effects of beta-blockers.",Monitor blood pressure and renal function.,1,2026-05-13
skanttr lifescience llpdiclofenac,metoprolol,Moderate,Reduced antihypertensive effect.,"NSAIDs can cause sodium and water retention, counteracting the effects of beta-blockers.",Monitor blood pressure and renal function.,1,2026-05-13
skanttr lifescience llpdiclofenac,ramipril,Moderate,Increased risk of renal impairment and reduced antihypertensive effect.,"NSAIDs can inhibit prostaglandin synthesis, leading to renal vasoconstriction, especially in patients with compromised renal function, and can reduce the effectiveness of ACE inhibitors.",Monitor renal function and blood pressure; consider alternative analgesic.,1,2026-05-13
skanttr lifescience llpdiclofenac,losartan,Moderate,Increased risk of renal impairment and reduced antihypertensive effect.,"NSAIDs can inhibit prostaglandin synthesis, leading to renal vasoconstriction, especially in patients with compromised renal function, and can reduce the effectiveness of ARBs.",Monitor renal function and blood pressure; consider alternative analgesic.,1,2026-05-13
skanttr lifescience llpdiclofenac,amlodipine,Moderate,Reduced antihypertensive effect.,"NSAIDs can cause sodium and water retention, counteracting the effects of calcium channel blockers.",Monitor blood pressure.,1,2026-05-13
skanttr lifescience llpdiclofenac,furosemide,Moderate,Reduced diuretic and antihypertensive effect; increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, reducing renal blood flow and counteracting the effects of loop diuretics.","Monitor urine output, renal function, and blood pressure.",1,2026-05-13
skanttr lifescience llpdiclofenac,spironolactone,Moderate,Reduced antihypertensive effect; increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, leading to renal vasoconstriction, and can reduce the effectiveness of potassium-sparing diuretics.",Monitor renal function and blood pressure.,1,2026-05-13
skanttr lifescience llpdiclofenac,lithium,Major,"Increased serum lithium levels, risk of lithium toxicity.",NSAIDs can decrease renal clearance of lithium.,Monitor lithium levels closely and reduce lithium dose if necessary; consider alternative analgesic.,1,2026-05-13
mecetronium,,,,,,1,2026-05-13
hatorvastatin,atorvastatin,Minor,Increased risk of muscle-related side effects.,Both drugs are statins and may have additive effects on muscle toxicity.,Monitor for muscle pain or weakness.,1,2026-05-13
currant life science llpcefixime,,,,,,1,2026-05-13
glial life science llpclonazepam,clonazepam,Minor,Increased sedative effects.,Both are benzodiazepines and have additive central nervous system depressant effects.,Monitor for excessive sedation.,1,2026-05-13
glial life science llpclonazepam,alprazolam,Major,"Enhanced CNS depression, increased risk of respiratory depression and sedation.",Both are benzodiazepines with additive pharmacodynamic effects.,"Avoid concomitant use or use with extreme caution, monitor for sedation and respiratory depression.",1,2026-05-13
glial life science llpclonazepam,diazepam,Major,"Enhanced CNS depression, increased risk of respiratory depression and sedation.",Both are benzodiazepines with additive pharmacodynamic effects.,"Avoid concomitant use or use with extreme caution, monitor for sedation and respiratory depression.",1,2026-05-13
glial life science llpclonazepam,lorazepam,Major,"Enhanced CNS depression, increased risk of respiratory depression and sedation.",Both are benzodiazepines with additive pharmacodynamic effects.,"Avoid concomitant use or use with extreme caution, monitor for sedation and respiratory depression.",1,2026-05-13
glial life science llpclonazepam,midazolam,Major,Potentially life-threatening CNS and respiratory depression.,Both are benzodiazepines with additive pharmacodynamic effects.,"Avoid concomitant use or use with extreme caution, monitor for sedation and respiratory depression.",1,2026-05-13
glial life science llpclonazepam,zolpidem,Major,"Enhanced CNS depression, increased risk of somnolence, respiratory depression, and accidents.",Both are CNS depressants with additive pharmacodynamic effects.,"Avoid concomitant use or use with extreme caution, monitor for sedation and respiratory depression.",1,2026-05-13
glial life science llpclonazepam,tramadol,Moderate,Increased risk of sedation and respiratory depression.,Both drugs cause CNS depression.,Monitor for excessive sedation and respiratory depression.,1,2026-05-13
glial life science llpclonazepam,codeine,Moderate,Increased risk of sedation and respiratory depression.,Both drugs cause CNS depression.,Monitor for excessive sedation and respiratory depression.,1,2026-05-13
glial life science llpclonazepam,morphine,Moderate,Increased risk of sedation and respiratory depression.,Both drugs cause CNS depression.,Monitor for excessive sedation and respiratory depression.,1,2026-05-13
glial life science llpclonazepam,amitriptyline,Moderate,Increased sedation and anticholinergic effects.,Both drugs have sedative properties.,Monitor for excessive sedation and anticholinergic side effects.,1,2026-05-13
glial life science llpclonazepam,gabapentin,Moderate,Increased sedation and dizziness.,Both drugs have CNS depressant effects.,Monitor for excessive sedation and dizziness.,1,2026-05-13
glial life science llpclonazepam,haloperidol,Moderate,Increased sedation and extrapyramidal symptoms.,Both drugs can cause CNS depression.,Monitor for excessive sedation and extrapyramidal symptoms.,1,2026-05-13
glial life science llpclonazepam,clozapine,Major,"Potentially life-threatening CNS and respiratory depression, increased risk of seizures.",Both drugs have CNS depressant effects.,"Avoid concomitant use or use with extreme caution, monitor for sedation, respiratory depression, and seizures.",1,2026-05-13
glial life science llpclonazepam,olanzapine,Major,"Potentially life-threatening CNS and respiratory depression, increased risk of seizures.",Both drugs have CNS depressant effects.,"Avoid concomitant use or use with extreme caution, monitor for sedation, respiratory depression, and seizures.",1,2026-05-13
colfosceril palmitate,,,,,,1,2026-05-13
advent life sciences llptelmisartan,aspirin,Moderate,Reduced antihypertensive effect and increased risk of renal dysfunction.,"NSAIDs can inhibit prostaglandin synthesis, counteracting the vasodilation caused by telmisartan.",Monitor blood pressure closely; consider alternative pain relief if possible.,1,2026-05-13
advent life sciences llptelmisartan,ibuprofen,Moderate,Reduced antihypertensive effect and increased risk of renal dysfunction.,"NSAIDs can inhibit prostaglandin synthesis, counteracting the vasodilation caused by telmisartan.",Monitor blood pressure closely; consider alternative pain relief if possible.,1,2026-05-13
advent life sciences llptelmisartan,furosemide,Moderate,Increased risk of hypotension and hyperkalemia.,"Telmisartan can increase potassium levels; furosemide can decrease them, leading to unpredictable electrolyte balance.",Monitor electrolytes (especially potassium) and renal function; adjust doses as needed.,1,2026-05-13
advent life sciences llptelmisartan,spironolactone,Major,Significant risk of hyperkalemia.,Both drugs are potassium-sparing and can lead to dangerously elevated potassium levels.,Avoid concomitant use or monitor potassium levels very closely and frequently.,1,2026-05-13
advent life sciences llptelmisartan,atenolol,Minor,Potentially additive hypotensive effects.,Both drugs lower blood pressure through different mechanisms.,Monitor blood pressure.,1,2026-05-13
advent life sciences llptelmisartan,metoprolol,Minor,Potentially additive hypotensive effects.,Both drugs lower blood pressure through different mechanisms.,Monitor blood pressure.,1,2026-05-13
advent life sciences llptelmisartan,ramipril,Major,Increased risk of hyperkalemia and renal impairment.,Both are ACE inhibitors/ARBs that can increase potassium and affect kidney function.,Avoid concomitant use or monitor electrolytes and renal function very closely.,1,2026-05-13
advent life sciences llptelmisartan,clopidogrel,Minor,Potentially increased bleeding risk.,Telmisartan may have weak antiplatelet effects.,Monitor for signs of bleeding.,1,2026-05-13
advent life sciences llptelmisartan,lithium,Moderate,"Reduced lithium clearance, leading to increased lithium levels and toxicity.",Telmisartan can decrease renal excretion of lithium.,Monitor lithium levels closely; adjust lithium dose if necessary.,1,2026-05-13
limitedeicosapentaenoic acid,warfarin,Moderate,Increased risk of bleeding.,Omega-3 fatty acids can have mild antiplatelet effects.,Monitor INR closely; use with caution.,1,2026-05-13
limitedeicosapentaenoic acid,clopidogrel,Moderate,Increased risk of bleeding.,Omega-3 fatty acids can have mild antiplatelet effects.,Monitor for signs of bleeding.,1,2026-05-13
gemigliptin,metformin,Minor,No significant interaction; synergistic effect on glucose lowering.,Both drugs target different pathways to lower blood glucose.,Monitor blood glucose levels.,1,2026-05-13
gemigliptin,insulin,Moderate,Increased risk of hypoglycemia.,Additive glucose-lowering effects.,Monitor blood glucose levels closely; may require insulin dose adjustment.,1,2026-05-13
sulphur hexafluoride,,,,,,1,2026-05-13
valent conjugate vaccine,,,,,,1,2026-05-13
dioctyl sodium sulfosuccinate,mineral oil,Moderate,"Increased absorption of mineral oil, potentially leading to granulomas.",Docusate increases the solubility and absorption of lipophilic substances.,Avoid concomitant use.,1,2026-05-13
overseascefuroxime,warfarin,Moderate,Altered anticoagulant effect (can increase or decrease INR).,"Antibiotics can affect gut flora, which influences vitamin K production.",Monitor INR closely; adjust warfarin dose as needed.,1,2026-05-13
overseascefuroxime,probenecid,Moderate,"Reduced renal excretion of cefuroxime, leading to higher plasma concentrations.",Probenecid competes with cefuroxime for tubular secretion.,Monitor for increased cefuroxime side effects; consider dose adjustment.,1,2026-05-13
renwick health care llppregabalin,alprazolam,Major,"Additive central nervous system depression (sedation, respiratory depression).",Both drugs are CNS depressants.,Use with extreme caution; monitor for excessive sedation and respiratory depression.,1,2026-05-13
renwick health care llppregabalin,diazepam,Major,"Additive central nervous system depression (sedation, respiratory depression).",Both drugs are CNS depressants.,Use with extreme caution; monitor for excessive sedation and respiratory depression.,1,2026-05-13
renwick health care llppregabalin,lorazepam,Major,"Additive central nervous system depression (sedation, respiratory depression).",Both drugs are CNS depressants.,Use with extreme caution; monitor for excessive sedation and respiratory depression.,1,2026-05-13
renwick health care llppregabalin,clonazepam,Major,"Additive central nervous system depression (sedation, respiratory depression).",Both drugs are CNS depressants.,Use with extreme caution; monitor for excessive sedation and respiratory depression.,1,2026-05-13
renwick health care llppregabalin,midazolam,Major,"Additive central nervous system depression (sedation, respiratory depression).",Both drugs are CNS depressants.,Use with extreme caution; monitor for excessive sedation and respiratory depression.,1,2026-05-13
renwick health care llppregabalin,zolpidem,Major,"Additive central nervous system depression (sedation, respiratory depression).",Both drugs are CNS depressants.,Use with extreme caution; monitor for excessive sedation and respiratory depression.,1,2026-05-13
renwick health care llppregabalin,tramadol,Major,"Increased risk of CNS depression, dizziness, and sedation.",Both drugs can cause CNS depression.,Monitor for increased sedation and dizziness; consider dose adjustment.,1,2026-05-13
renwick health care llppregabalin,codeine,Major,"Increased risk of CNS depression, dizziness, and sedation.",Both drugs can cause CNS depression.,Monitor for increased sedation and dizziness; consider dose adjustment.,1,2026-05-13
renwick health care llppregabalin,morphine,Major,"Increased risk of CNS depression, dizziness, and sedation.",Both drugs can cause CNS depression.,Monitor for increased sedation and dizziness; consider dose adjustment.,1,2026-05-13
renwick health care llppregabalin,gabapentin,Moderate,"Additive CNS depression (somnolence, dizziness).",Both drugs affect voltage-gated calcium channels and can depress CNS.,Monitor for increased somnolence and dizziness; consider dose reduction.,1,2026-05-13
renwick health care llppregabalin,ethanol,Major,"Potentiation of CNS depressant effects, including dizziness and somnolence.",Alcohol is a CNS depressant.,Advise patients to avoid alcohol consumption.,1,2026-05-13
fenbendazole,,,,,,1,2026-05-13
multivitamin,levodopa,Moderate,Reduced absorption and efficacy of levodopa.,Minerals like iron and calcium in multivitamins can chelate with levodopa.,Administer levodopa at least 2 hours before or after multivitamin; separate doses.,1,2026-05-13
multivitamin,thyroid hormones,Moderate,Reduced absorption and efficacy of thyroid hormones.,Minerals like calcium and iron can interfere with thyroid hormone absorption.,Administer thyroid hormones at least 4 hours apart from multivitamins containing calcium or iron.,1,2026-05-13
multivitamin,quinolone antibiotics,Moderate,Reduced absorption and efficacy of quinolones.,"Minerals like iron, calcium, magnesium, and zinc can chelate with quinolones.",Separate administration of quinolone antibiotics by at least 2-4 hours from multivitamins.,1,2026-05-13
multivitamin,bisphosphonates,Moderate,Reduced absorption of bisphosphonates.,Minerals like calcium can interfere with bisphosphonate absorption.,Take bisphosphonates at least 2 hours apart from multivitamins containing calcium.,1,2026-05-13
evolocumab,atorvastatin,Minor,Increased risk of myopathy.,Both drugs affect lipid metabolism and can have additive effects on muscle enzymes.,Monitor for muscle pain or weakness.,1,2026-05-13
evolocumab,rosuvastatin,Minor,Increased risk of myopathy.,Both drugs affect lipid metabolism and can have additive effects on muscle enzymes.,Monitor for muscle pain or weakness.,1,2026-05-13
dibasic sodium phosphate,,,,,,1,2026-05-13
monobasic sodium phosphate,,,,,,1,2026-05-13
nartograstim,,,,,,1,2026-05-13
aster zenith bioscience llppantoprazole,diazepam,Minor,Increased risk of diazepam toxicity.,Pantoprazole may inhibit the metabolism of diazepam.,Monitor for increased sedation and CNS effects.,1,2026-05-13
aster zenith bioscience llppantoprazole,phenytoin,Minor,Increased risk of phenytoin toxicity.,Pantoprazole may inhibit the metabolism of phenytoin.,Monitor phenytoin levels and for signs of toxicity.,1,2026-05-13
herpes zoster / shingles vaccine,,,,,,1,2026-05-13
polycarbophil,metformin,Minor,Reduced absorption of metformin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,warfarin,Minor,Reduced absorption of warfarin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,digoxin,Minor,Reduced absorption of digoxin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,atorvastatin,Minor,Reduced absorption of atorvastatin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,rosuvastatin,Minor,Reduced absorption of rosuvastatin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,aspirin,Minor,Reduced absorption of aspirin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,ibuprofen,Minor,Reduced absorption of ibuprofen.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,amoxicillin,Minor,Reduced absorption of amoxicillin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,azithromycin,Minor,Reduced absorption of azithromycin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,ciprofloxacin,Minor,Reduced absorption of ciprofloxacin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,metronidazole,Minor,Reduced absorption of metronidazole.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,prednisolone,Minor,Reduced absorption of prednisolone.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,dexamethasone,Minor,Reduced absorption of dexamethasone.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,insulin,Minor,Reduced absorption of insulin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,furosemide,Minor,Reduced absorption of furosemide.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,spironolactone,Minor,Reduced absorption of spironolactone.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,atenolol,Minor,Reduced absorption of atenolol.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,metoprolol,Minor,Reduced absorption of metoprolol.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,ramipril,Minor,Reduced absorption of ramipril.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,clopidogrel,Minor,Reduced absorption of clopidogrel.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,gabapentin,Minor,Reduced absorption of gabapentin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,alprazolam,Minor,Reduced absorption of alprazolam.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,diazepam,Minor,Reduced absorption of diazepam.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,sertraline,Minor,Reduced absorption of sertraline.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,fluoxetine,Minor,Reduced absorption of fluoxetine.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,amitriptyline,Minor,Reduced absorption of amitriptyline.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,tramadol,Minor,Reduced absorption of tramadol.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,codeine,Minor,Reduced absorption of codeine.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,morphine,Minor,Reduced absorption of morphine.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,phenytoin,Minor,Reduced absorption of phenytoin.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,valproate,Minor,Reduced absorption of valproate.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,carbamazepine,Minor,Reduced absorption of carbamazepine.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,lithium,Minor,Reduced absorption of lithium.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,haloperidol,Minor,Reduced absorption of haloperidol.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,clozapine,Minor,Reduced absorption of clozapine.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,olanzapine,Minor,Reduced absorption of olanzapine.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,lorazepam,Minor,Reduced absorption of lorazepam.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,clonazepam,Minor,Reduced absorption of clonazepam.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,midazolam,Minor,Reduced absorption of midazolam.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
polycarbophil,zolpidem,Minor,Reduced absorption of zolpidem.,"Polycarbophil can bind to drugs, slowing their absorption.",Separate administration by at least 2 hours.,1,2026-05-13
garenoxacin,,,,,,1,2026-05-13
overseaspiracetam,,,,,,1,2026-05-13
overseasfexofenadine,,,,,,1,2026-05-13
strontium chloride,,,,,,1,2026-05-13
